Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.7653E-05,0.1789,0.00018456,0,0,0,10.998,0.3066,1.7304E-06,-1.0288E-05,0.26623,7.2468E-05,0.2251,0,0,0,0,0,0,package://dual_arm_1kg/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/base_link.STL,,装配体总成(技术大学）-1kg.STEP-1/120120D 欧标7.0厚-720mm.STEP-1;装配体总成(技术大学）-1kg.STEP-1/车底座.STEP-1;装配体总成(技术大学）-1kg.STEP-1/40120三槽六孔 码角.STEP-4;装配体总成(技术大学）-1kg.STEP-1/40120三槽六孔 码角.STEP-3;装配体总成(技术大学）-1kg.STEP-1/40120三槽六孔 码角.STEP-2;装配体总成(技术大学）-1kg.STEP-1/40120三槽六孔 码角.STEP-1;装配体总成(技术大学）-1kg.STEP-1/2.5寸pu轮.STEP-4;装配体总成(技术大学）-1kg.STEP-1/2.5寸pu轮.STEP-1;装配体总成(技术大学）-1kg.STEP-1/2.5寸pu轮.STEP-2;装配体总成(技术大学）-1kg.STEP-1/2.5寸pu轮.STEP-3;装配体总成(技术大学）-1kg.STEP-1/70谐波套.STEP-1;装配体总成(技术大学）-1kg.STEP-1/型材盖板.STEP-1;装配体总成(技术大学）-1kg.STEP-1/70连接座-肩部.STEP-1;装配体总成(技术大学）-1kg.STEP-1/70连接座-肩部.STEP-2;装配体总成(技术大学）-1kg.STEP-1/70谐波装配体总成---模型.STEP-1;装配体总成(技术大学）-1kg.STEP-1/肩部板--短V2.0.STEP-1;装配体总成(技术大学）-1kg.STEP-1/脖子-2.STEP-1;装配体总成(技术大学）-1kg.STEP-1/70谐波 输出轴.STEP-1;装配体总成(技术大学）-1kg.STEP-1/脖子-1.STEP-1;装配体总成(技术大学）-1kg.STEP-1/装配体-052模组总成 - （带后盖打样）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/连接座4.STEP-1;装配体总成(技术大学）-1kg.STEP-1/装配体-052模组总成 - （带后盖打样）.STEP-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
laxis1_link,-0.0063819,3.8724E-06,0.0020017,0,0,0,0.21943,0.00016599,-2.3484E-07,2.0611E-07,0.00012603,-1.1767E-05,0.0001292,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis1_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/70谐波装配体总成---模型.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/70谐波连接套.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/装配体 70谐波固定座1（单边）.STEP-1/70谐波连接座-1（单边）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/装配体 70谐波固定座1（单边）.STEP-1/70谐波连接座-2.STEP-1,Origin_laxis1_joint,,laxis1_joint,revolute,0.12844,-0.010901,0.9108,2.3441,0,-0.084669,base_link,0,0,0,0,0,0,0,,,,,,,,
laxis2_link,-0.0151642205461063,0.00516950311812192,0.0148909964476645,0,0,0,0.213592778567682,0.00018235790796228,5.37132222500932E-08,5.64047925806823E-07,0.000132556511272666,-2.24184763708786E-05,7.53948619611351E-05,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis2_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/70谐波装配体总成---模型.STEP-2;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/70连接轴内.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/70谐波连接座-52 拆装配（双边）.STEP-1/70-52谐波连接座-2 拆B（单边加长）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/70谐波连接座-52 拆装配（双边）.STEP-1/70-52谐波连接座-2 拆D（单边增加）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/6803ZZ.STEP-2;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/70谐波连接座-52 拆装配（双边）.STEP-1/52谐波连接座-70（双边）.STEP-1,Origin_laxis2_joint,,laxis2_joint,revolute,0.0774,-3.3783E-05,0.01715,-1.6846,-1.5688,-1.5708,laxis1_link,0,0,0,0,0,0,0,,,,,,,,
laxis3_link,0.0118441133081597,0.0448173893054227,0.0199281435559954,0,0,0,0.0182957033092308,7.87114328237778E-06,-6.20827217800596E-08,8.30755431500317E-07,5.37647483228574E-06,-1.02401812672426E-07,8.73776705364907E-06,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis3_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis3_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/装配体-052模组总成 - （带后盖打样）.STEP-4;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52连接座-(单边).STEP-1/52连接座-（单边）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52连接座-(单边).STEP-1/52连接座-2 拆B改短.STEP-1,Origin_laxis3_joint,,laxis3_joint,revolute,-0.016833,0.034747,0.1012,1.748,-0.28299,-2.1411,laxis2_link,0,0,0,0,0,0,0,,,,,,,,
laxis4_link,0.0390421839077606,-0.0250129243501748,-0.0471342611946032,0,0,0,0.0616311590596033,4.92339431179852E-05,3.8209283942534E-08,3.14550717978551E-05,7.55120020959109E-05,-4.61125036476071E-08,3.73333488789559E-05,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis4_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis4_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/装配体-052模组总成 - （带后盖打样）.STEP-3;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52谐波连接座-长 装配（改双边边）.STEP-1/52谐波连接座-长 拆（单边加长）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52谐波连接座-长 装配（改双边边）.STEP-1/52谐波连接座-长 拆（增加双边）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52连接轴.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/6803ZZ.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52谐波连接座-长 装配（改双边边）.STEP-1/52-70连接座-(增加双边)1kgNEW.STEP-1,Origin_laxis4_joint,,laxis4_joint,revolute,0.0098406,0.07055,0.016623,1.9399,0.41064,0.76965,laxis3_link,0,0,0,0,0,0,0,,,,,,,,
laxis5_link,-0.0177232598229944,0.0448173893054237,0.0144455274141042,0,0,0,0.0182957033092307,8.49343226329802E-06,9.28243029832125E-08,-9.17715334217635E-07,5.37647483228573E-06,-7.56574144277642E-08,8.11547807272879E-06,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis5_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis5_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/装配体-052模组总成 - （带后盖打样）.STEP-2;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52连接座-(单边).STEP-2/52连接座-（单边）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52连接座-(单边).STEP-2/52连接座-2 拆B改短.STEP-1,Origin_laxis5_joint,,laxis5_joint,revolute,0.068269,-0.019,-0.082391,-2.2242,0.24666,1.8795,laxis4_link,0,0,0,0,0,0,0,,,,,,,,
laxis6_link,-0.0339956627845139,0.000603513294191727,0.00364359012406729,0,0,0,0.0306349253916363,1.26835540628772E-05,-2.67323256579739E-07,-5.89188492528862E-08,1.04375646006907E-05,2.73962589384525E-08,1.21146824475075E-05,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis6_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis6_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/装配体-052模组总成 - （带后盖打样）.STEP-5;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52连接座-3 （单边）.STEP-1/52连接座-3 拆B.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/52连接座-3 （单边）.STEP-1/52连接座-C1kg （单边）.STEP-1,Origin_laxis6_joint,,laxis6_joint,revolute,-0.014851,0.070309,0.012309,2.4552,0.079108,-1.6355,laxis5_link,0,0,0,0,0,0,0,,,,,,,,
laxis7_link,0.121269049640641,-0.435142426901518,0.685643187482132,0,0,0,12.1217453298508,1.52363058130509,-0.0377682920302424,-0.0826026602861309,1.42942310844602,-0.339016068416828,0.51577930701864,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis7_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/laxis7_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-1/装配体-052模组总成 - （带后盖打样）.STEP-1,Origin_laxis7_joint,,laxis7_joint,revolute,-0.098673,-0.019251,0.010129,2.8661,1.1866,-1.8271,laxis6_link,0,0,0,0,0,0,0,,,,,,,,
raxis1_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis1_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis1_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/70谐波连接套.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/装配体 70谐波固定座1（单边）.STEP-1/70谐波连接座-1（单边）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/70谐波装配体总成---模型.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/装配体 70谐波固定座1（单边）.STEP-1/70谐波连接座-2.STEP-1,Origin_raxis1_joint,,raxis1_joint,revolute,-0.1541,0.013079,0.9108,2.2799,0,3.0569,base_link,0,0,0,0,0,0,0,,,,,,,,
raxis2_link,-0.0135829266625127,0.0049600143853062,0.0137183768489762,0,0,0,0.224824025857165,0.000194483151460783,5.50607221353687E-08,5.53204099003949E-07,0.00014024241041905,-2.20538985705619E-05,7.99268291278131E-05,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis2_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/70谐波装配体总成---模型.STEP-2;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/70连接轴内.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/70谐波连接座-52 拆装配（双边）.STEP-1/70-52谐波连接座-2 拆D（单边增加）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/70谐波连接座-52 拆装配（双边）.STEP-1/70-52谐波连接座-2 拆B（单边加长）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/70谐波连接座-52 拆装配（双边）.STEP-1/52谐波连接座-70（双边）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/装配体 70谐波固定座1（单边）.STEP-1/70谐波连接座-2.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/6803ZZ.STEP-2,Origin_raxis2_joint,,raxis2_joint,revolute,0.051649,-0.012151,0.012103,-1.6846,-0.78343,-1.5708,raxis1_link,0,0,0,0,0,0,0,,,,,,,,
raxis3_link,0.0118441133081594,0.0448173893054226,0.019928143555995,0,0,0,0.0182957033092306,7.87114328237767E-06,-6.20827217800463E-08,8.30755431500304E-07,5.37647483228571E-06,-1.0240181267241E-07,8.73776705364897E-06,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis3_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis3_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/装配体-052模组总成 - （带后盖打样）.STEP-4;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52连接座-(单边).STEP-1/52连接座-（单边）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52连接座-(单边).STEP-1/52连接座-2 拆B改短.STEP-1,Origin_raxis3_joint,,raxis3_joint,revolute,-0.016833,0.034747,0.1012,1.748,-0.28299,-2.1411,raxis2_link,0,0,0,0,0,0,0,,,,,,,,
raxis4_link,0.0390421832632567,-0.0250129212766904,-0.0471342604671557,0,0,0,0.0616311576943978,4.9233941619484E-05,3.82096445631055E-08,3.14550705061862E-05,7.55119995175738E-05,-4.61129422819847E-08,3.73333477929218E-05,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis4_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis4_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/装配体-052模组总成 - （带后盖打样）.STEP-3;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52谐波连接座-长 装配（改双边边）.STEP-1/52谐波连接座-长 拆（单边加长）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52连接轴.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52谐波连接座-长 装配（改双边边）.STEP-1/52谐波连接座-长 拆（增加双边）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/6803ZZ.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52谐波连接座-长 装配（改双边边）.STEP-1/52-70连接座-(增加双边)1kgNEW.STEP-1,Origin_raxis4_joint,,raxis4_joint,revolute,0.0098406,0.07055,0.016623,1.9399,0.41064,0.76965,raxis3_link,0,0,0,0,0,0,0,,,,,,,,
raxis5_link,-0.0177232598229943,0.0448173893054233,0.0144455274141044,0,0,0,0.0182957033092307,8.493432263298E-06,9.28243029832134E-08,-9.17715334217627E-07,5.37647483228571E-06,-7.56574144277652E-08,8.11547807272879E-06,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis5_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis5_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/装配体-052模组总成 - （带后盖打样）.STEP-2;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52连接座-(单边).STEP-2/52连接座-（单边）.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52连接座-(单边).STEP-2/52连接座-2 拆B改短.STEP-1,Origin_raxis5_joint,,raxis5_joint,revolute,0.068269,-0.019,-0.082391,-2.2242,0.24666,1.8795,raxis4_link,0,0,0,0,0,0,0,,,,,,,,
raxis6_link,-0.0339956627845134,0.000603513294192171,0.00364359012406797,0,0,0,0.0306349253916362,1.26835540628772E-05,-2.67323256579738E-07,-5.89188492528661E-08,1.04375646006907E-05,2.73962589384556E-08,1.21146824475075E-05,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis6_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis6_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/装配体-052模组总成 - （带后盖打样）.STEP-5;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52连接座-3 （单边）.STEP-1/52连接座-3 拆B.STEP-1;装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/52连接座-3 （单边）.STEP-1/52连接座-C1kg （单边）.STEP-1,Origin_raxis6_joint,,raxis6_joint,revolute,-0.014851,0.070309,0.012309,2.4552,0.079108,-1.6355,raxis5_link,0,0,0,0,0,0,0,,,,,,,,
raxis7_link,-0.302167148563779,-0.618500704965407,0.605751449374939,0,0,0,12.1217453298508,1.17417086774541,0.00811410119519612,0.527879311234981,1.53867726117563,-0.0310569472971539,0.755984867848713,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis7_link.STL,1,1,1,1,0,0,0,0,0,0,package://dual_arm_1kg/meshes/raxis7_link.STL,,装配体总成(技术大学）-1kg.STEP-1/1kg--手臂（2谐波70+52）双边.STEP-2/装配体-052模组总成 - （带后盖打样）.STEP-1,Origin_raxis7_joint,,raxis7_joint,revolute,-0.098673,-0.019251,0.010129,2.8661,1.1866,-1.8271,raxis6_link,0,0,0,0,0,0,0,,,,,,,,
